id;status;api_mark;statusCode;success;set_order_id
463840;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463840
463691;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463691
463694;delivered;from_BetaPost_API;2016-07-18;200;1;463694
463724;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463724
463515;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463515
463672;delivered;from_BetaPost_API;2016-07-18;200;1;463672
463514;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463514
463502;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463502
463202;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463202
463498;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463498
461650;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461650
461777;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461777
460738;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460738
461791;delivered;from_BetaPost_API;2016-07-18;200;1;461791
463496;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463496
461040;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461040
460639;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460639
463453;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463453
460352;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460352
419271;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;419271
463339;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463339
414398;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;414398
463286;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463286
464560;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464560
463098;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463098
461869;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461869
464454;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464454
464877;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464877
464925;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464925
465249;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465249
464790;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464790
464833;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464833
464467;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464467
465574;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465574
464778;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464778
464799;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464799
463135;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463135
465424;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465424
464756;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464756
465171;delivered;from_BetaPost_API;2016-07-18;200;1;465171
464793;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;464793
465403;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465403
464694;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464694
464646;delivered;from_BetaPost_API;2016-07-18;200;1;464646
465339;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465339
464676;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464676
465319;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465319
464655;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464655
465275;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465275
464612;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464612
465189;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465189
464566;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464566
465188;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465188
464321;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464321
465138;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465138
464266;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464266
465059;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465059
464265;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464265
464999;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464999
464230;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464230
